Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume,Underaged,Market Cap Category,Yearly_NetIncome,Profitable,Avg_Volume_1_6,Volume_Category,Avg Monthly Volume,Avg Quarterly Income,Volume to Income Ratio,Avg Monthly Income,Market Cap to Avg Monthly Income Ratio,in_index
ADM,39306998000,NYSE,536102000,927000000,1170000000,1019000000,1031000000,1236000000,1054000000,782000000,526000000.0,25205777.0,62612811.0,55140654.0,56775799.0,59417688.0,63838388.0,48686564.0,68027829.0,64760295.0,77796341.0,55168164.0,50156720.0,58095203.0,62551768.0,50926335.0,55791497.0,80456134.0,81822330.0,82605682.0,113209202.0,52824278.0,70274996.0,46724438.0,55928341.0,0,14.6B-50B,4147000000,Profitable,53831852.833333336,Good Volume,53831852.833333336,1036750000.0,19.259043585399905,322708333.3333333,121.80347992253067,1
ADP,101963071000,NASDAQ,411972000,776700000,1043100000,813100000,779000000,625500000,928500000,694400000,700500000.0,16140240.0,28358009.0,29235339.0,37112887.0,34598093.0,39559261.0,32865777.0,50593337.0,36086640.0,43199149.0,33467746.0,34261880.0,37580517.0,42372814.0,29649713.0,30947302.0,34519397.0,41288407.0,39860143.0,46604741.0,36698757.0,44025930.0,32115331.0,29423268.0,0,100B-500B,3411900000,Profitable,30833971.5,Good Volume,30833971.5,852975000.0,27.663481494753277,265033333.33333334,384.71791347000374,1
ADSK,44777144000,NASDAQ,213764000,222000000,161000000,293000000,198000000,186000000,146000000,89000000,137000000.0,13312846.0,25037113.0,31431606.0,30263716.0,33694327.0,32231346.0,23708558.0,35381311.0,29513637.0,23640389.0,28201256.0,45082094.0,28424684.0,30124363.0,30431100.0,28477766.0,35545887.0,48822812.0,29884088.0,44464487.0,39018213.0,35555835.0,34091739.0,38965435.0,0,14.6B-50B,874000000,Profitable,27661825.666666668,Good Volume,27661825.666666668,218500000.0,7.898972491295073,59666666.666666664,750.4549273743017,1
AEE,20481362000,NYSE,262750000,237000000,264000000,163000000,452000000,207000000,252000000,125000000,425000000.0,26130579.0,27165719.0,27693878.0,26513688.0,28220617.0,30104355.0,21263842.0,29908032.0,28741129.0,30230524.0,23441930.0,32021426.0,30431288.0,28142812.0,29318216.0,23053151.0,36892843.0,30515980.0,23345303.0,31780983.0,22343702.0,28269030.0,27209199.0,21449070.0,0,14.6B-50B,1116000000,Profitable,27638139.333333332,Good Volume,27638139.333333332,279000000.0,10.094746127265827,88541666.66666667,231.31891199999998,1
AEP,38365155000,NASDAQ,515176000,516100000,397000000,384300000,683700000,520800000,718100000,538900000,796000000.0,56319303.0,55692502.0,66606851.0,67319607.0,71588074.0,56496491.0,44762240.0,73721685.0,53957594.0,54521656.0,65663798.0,71774908.0,71048117.0,60805401.0,50016730.0,51471104.0,62270178.0,59242271.0,54239782.0,75111068.0,67364624.0,65661665.0,59305860.0,54452999.0,0,14.6B-50B,1981100000,Profitable,62337138.0,Good Volume,62337138.0,495275000.0,7.945103286583352,189787500.0,202.1479549496147,1
AES,8812318000,NYSE,669629000,-39000000,151000000,-903000000,421000000,-179000000,115000000,-632000000,343000000.0,167243215.0,146768198.0,125307351.0,83865724.0,164116799.0,137186576.0,78814349.0,105412425.0,80169880.0,96737032.0,65795890.0,87220572.0,94760630.0,122615190.0,107370603.0,99329786.0,130106583.0,117958445.0,116736994.0,142134016.0,119632623.0,117740007.0,96712876.0,99457999.0,0,0-14.6B,-370000000,Not Profitable,137414643.83333334,Good Volume,137414643.83333334,-92500000.0,-0.6731451424652445,-30125000.0,-292.5250788381743,1
AFL,47673475000,NYSE,594062000,1634000000,1188000000,185000000,1596000000,1394000000,1047000000,1039000000,888000000.0,30076816.0,46347352.0,51869401.0,40174814.0,49139814.0,50341403.0,44742476.0,64641688.0,44639604.0,61073173.0,52099910.0,63286937.0,50583612.0,62192468.0,52846973.0,43577215.0,52647633.0,65044347.0,52993025.0,60491212.0,69270630.0,75561443.0,63265327.0,64645081.0,0,14.6B-50B,4603000000,Profitable,44658266.666666664,Good Volume,44658266.666666664,1150750000.0,25.767905606128917,373791666.6666667,127.54022962880391,1
AIG,43489972000,NYSE,711900000,1493000000,30000000,271000000,2709000000,2754000000,4173000000,3746000000,1667000000.0,38489502.0,59680895.0,62696499.0,64124303.0,88380596.0,92714739.0,71421662.0,166336294.0,95366823.0,75739553.0,103412347.0,99452343.0,93509668.0,113020753.0,88027688.0,80583708.0,126723543.0,124166575.0,80124862.0,114827899.0,101751375.0,110570352.0,101825399.0,99202237.0,0,14.6B-50B,4503000000,Profitable,67681089.0,Good Volume,67681089.0,1125750000.0,16.63315435128415,701791666.6666666,61.96991794810901,1
AIZ,7854253000,NYSE,53023000,156300000,113600000,68100000,7300000,52200000,149000000,120900000,879800000.0,3657518.0,6862739.0,7550568.0,6655975.0,9472139.0,8926197.0,7426364.0,11480609.0,7890308.0,7580423.0,10440849.0,15075325.0,10513081.0,8216814.0,10202410.0,7194385.0,10946944.0,11613322.0,7389097.0,9006955.0,11292905.0,11727319.0,9238055.0,7420415.0,0,0-14.6B,345300000,Profitable,7187522.666666667,Good Volume,7187522.666666667,86325000.0,12.010396906342509,64466666.666666664,121.8343278179938,1
AJG,50402546000,NYSE,215506000,234500000,486500000,135500000,255800000,284200000,438700000,109400000,225100000.0,8504092.0,15930059.0,14633371.0,14439307.0,19333631.0,19763293.0,17909954.0,26581258.0,15150520.0,14119615.0,14512774.0,19375475.0,20769248.0,22807742.0,19182059.0,13832023.0,19031532.0,19973672.0,20159543.0,21965211.0,17764996.0,23004484.0,19286956.0,18758958.0,0,50B-100B,1112300000,Profitable,15433958.833333334,Good Volume,15433958.833333334,278075000.0,18.017088357099308,90404166.66666667,557.524590496382,1
AKAM,16174122000,NASDAQ,151713000,128816000,97106000,128762000,123694000,137840000,133376000,160534000,178916000.0,16292322.0,41992197.0,42762201.0,21939338.0,30342848.0,35383285.0,23984332.0,43698759.0,38557782.0,23695566.0,28712007.0,34998118.0,33014322.0,31949991.0,30439091.0,34042792.0,34128815.0,52730525.0,24191089.0,37168572.0,36383151.0,27779370.0,25166547.0,34688173.0,0,14.6B-50B,478378000,Profitable,31452031.833333332,Good Volume,31452031.833333332,119594500.0,3.8024411470057067,45376833.333333336,356.44007771954114,1
ALB,19172153000,NYSE,117347000,650043000,1238580000,1132445000,897215000,406773000,253383000,-3824000,-392781000.0,32286704.0,36261790.0,41443943.0,34566874.0,37539088.0,53544451.0,53727715.0,39581835.0,34809000.0,30229666.0,29848118.0,32466142.0,30239136.0,28807509.0,30740169.0,20026168.0,32254003.0,35088206.0,18156982.0,22387457.0,28151415.0,20747768.0,23130438.0,24364902.0,0,14.6B-50B,3918283000,Profitable,39273808.333333336,Good Volume,39273808.333333336,979570750.0,24.942087145865024,174243083.33333334,110.03107057812433,1
ALGN,20357198000,NASDAQ,76534000,111814000,87798000,41775000,72700000,112800000,134298000,190961000,180969000.0,9149649.0,12786579.0,11722529.0,19574338.0,13780621.0,15301261.0,14945770.0,22279207.0,23923418.0,19861356.0,20341385.0,22632091.0,23843246.0,19460007.0,15675854.0,18987387.0,24996272.0,25625419.0,19186780.0,19684669.0,17490685.0,20096475.0,11370278.0,11002346.0,0,14.6B-50B,314087000,Profitable,13719162.833333334,Good Volume,13719162.833333334,78521750.0,5.723508857932378,38879791.666666664,523.593289144425,1
ALK,4207298000,NYSE,127224000,240000000,-142000000,22000000,40000000,139000000,-143000000,18000000,194000000.0,31177791.0,38489611.0,33907779.0,43653688.0,29628973.0,30042020.0,38249019.0,42850641.0,21463794.0,30931856.0,29201651.0,24735231.0,34900618.0,33718614.0,27569398.0,33096894.0,39478667.0,38508136.0,41832640.0,56163791.0,38269672.0,40681160.0,42859955.0,38646044.0,0,0-14.6B,160000000,Profitable,34483310.333333336,Good Volume,34483310.333333336,40000000.0,1.1599814406836095,15333333.333333334,274.389,1
ALL,31472583000,NYSE,261574000,-1352000000,-320000000,-284000000,-668000000,-1013000000,660000000,817000000,538000000.0,21807089.0,35185735.0,34814421.0,37097044.0,43172511.0,43304082.0,32417015.0,54984796.0,32609075.0,33080776.0,30557868.0,33295293.0,49735401.0,38335490.0,36227999.0,40043250.0,36219055.0,39748576.0,34370596.0,51868121.0,56711970.0,45140106.0,44705188.0,55359153.0,0,14.6B-50B,-2624000000,Not Profitable,35896813.666666664,Good Volume,35896813.666666664,-656000000.0,-18.274602478413104,-67583333.33333333,-465.6855684340321,1
ALLE,9083475000,NYSE,87780000,142000000,123500000,135300000,114600000,115100000,93000000,112800000,143500000.0,6981872.0,13327350.0,17807226.0,17208676.0,17353760.0,13637681.0,19225595.0,20265296.0,15562806.0,11052002.0,11265969.0,14069899.0,16603447.0,19145167.0,14311191.0,12128431.0,17119445.0,15018674.0,16783738.0,16090584.0,17976076.0,13396191.0,11939162.0,11975412.0,0,0-14.6B,515400000,Profitable,14386094.166666666,Good Volume,14386094.166666666,128850000.0,8.956565868903612,40825000.0,222.4978567054501,1
AMAT,118068412000,NASDAQ,836534000,1560000000,1575000000,1717000000,1591000000,1606000000,1536000000,1792000000,1712000000.0,69992823.0,109704009.0,118645698.0,127151975.0,116841988.0,133483678.0,111415728.0,160485505.0,130322556.0,117570971.0,128013759.0,176525283.0,212183579.0,147536174.0,160510544.0,135497660.0,167028326.0,178596582.0,172756957.0,165798230.0,160778153.0,203367300.0,147624969.0,160189211.0,0,100B-500B,6443000000,Profitable,112636695.16666667,Good Volume,112636695.16666667,1610750000.0,14.300401815026618,545375000.0,216.49032683933075,1
AMCR,12598492000,NYSE,1446440000,180000000,177000000,459000000,232000000,109000000,269000000,225000000,202000000.0,93396798.0,138541126.0,165690306.0,137354296.0,161174653.0,184732340.0,143456479.0,176673702.0,184078629.0,143241385.0,144959550.0,167626159.0,166058828.0,154490645.0,202087738.0,192005035.0,207840793.0,326528336.0,165198729.0,189333042.0,188709918.0,142815360.0,144283307.0,125690564.0,0,0-14.6B,1048000000,Profitable,146814919.83333334,Good Volume,146814919.83333334,262000000.0,1.7845597729265297,77208333.33333333,163.17528764166218,1
AMD,169790751000,NASDAQ,1615670000,27000000,-139000000,21000000,66000000,447000000,786000000,974000000,923000000.0,665138903.0,1044530220.0,1573690096.0,1142100773.0,1543262982.0,1762795163.0,894895972.0,1656333033.0,1145873205.0,1081467156.0,1149724787.0,1681597389.0,1961654845.0,1676527449.0,1800209702.0,1633449957.0,2031197788.0,2897833067.0,1717398548.0,2458597564.0,2293240492.0,1637852102.0,1175268948.0,1371740461.0,0,100B-500B,-25000000,Not Profitable,1288586356.1666667,Good Volume,1288586356.1666667,-6250000.0,-0.004850276405682833,129375000.0,1312.3922782608695,1
AME,34293031000,NYSE,230712000,324242000,305712000,307081000,297641000,282373000,272447000,281681000,257460000.0,10449670.0,22608473.0,17243493.0,17961613.0,19945675.0,21667119.0,20144777.0,23889265.0,20852922.0,18954135.0,17896252.0,21753786.0,25789502.0,21635098.0,21011269.0,18132672.0,23355499.0,26874399.0,21070367.0,23840986.0,20786237.0,19354307.0,18077712.0,21858956.0,0,14.6B-50B,1234676000,Profitable,18312673.833333332,Good Volume,18312673.833333332,308669000.0,16.85548504872896,97026541.66666667,353.439691974318,1
AMGN,151965368000,NASDAQ,534901000,1379000000,2841000000,1616000000,2143000000,1317000000,1476000000,1899000000,1884000000.0,36212187.0,47065406.0,56925163.0,51881544.0,58521816.0,50819770.0,37027620.0,59935365.0,52525179.0,43433169.0,56301917.0,64905914.0,55949424.0,56755895.0,58952937.0,51623723.0,76166654.0,70035889.0,59137209.0,72435888.0,68310734.0,56317621.0,64408481.0,64333763.0,0,100B-500B,7979000000,Profitable,50237647.666666664,Good Volume,50237647.666666664,1994750000.0,39.70627791403423,606458333.3333334,250.5784151150807,1
AMP,33344215000,NYSE,102626000,890000000,417000000,494000000,548000000,614000000,825000000,701000000,1031000000.0,5695503.0,8439466.0,7926297.0,9252296.0,11747037.0,13754988.0,10702719.0,19504838.0,8449419.0,10928906.0,10535422.0,13331534.0,12967264.0,11011002.0,11543439.0,13087150.0,12574952.0,15280651.0,12401478.0,15340706.0,13884116.0,13569843.0,12454397.0,11943534.0,0,14.6B-50B,2349000000,Profitable,9469264.5,Good Volume,9469264.5,587250000.0,62.01643221603959,230000000.0,144.97484782608694,1
AMT,77829407000,NYSE,466156000,475700000,335800000,-683800000,839700000,898200000,711700000,453400000,723000000.0,26213100.0,44081907.0,39270141.0,49696978.0,47593517.0,45951429.0,35740150.0,50459029.0,39770414.0,38198831.0,36488718.0,40995769.0,52859811.0,36500057.0,30436409.0,29436159.0,55288657.0,40773953.0,36629942.0,45366341.0,35948519.0,47694579.0,36333752.0,36774930.0,0,50B-100B,967400000,Profitable,42134512.0,Good Volume,42134512.0,241850000.0,5.739950186203652,156404166.66666666,497.61722247382585,1
AMZN,1339147289000,NASDAQ,10317800000,6750000000,3172000000,278000000,2872000000,-2028000000,-3844000000,14323000000,3156000000.0,588220358.0,1120523243.0,1213497007.0,1059097946.0,1243071267.0,1432007632.0,1222124091.0,1349466996.0,1364198308.0,1523798384.0,1549193116.0,2035252422.0,1459511591.0,1209987592.0,1170389539.0,1338005773.0,1457571482.0,112895255.0,73072079.0,81145583.0,84446686.0,76146845.0,64405344.0,75633992.0,0,1T+,13072000000,Profitable,1109402908.8333333,Good Volume,1109402908.8333333,3268000000.0,2.945728710443606,1028291666.6666666,1302.3029675432554,1
ANET,58773955000,NYSE,309581000,491885000,436473000,427089000,353999000,299099000,272259000,239295000,224305000.0,23802247.0,32338147.0,68741684.0,54545388.0,74461030.0,93792535.0,40275304.0,68738535.0,49877088.0,42896523.0,38474535.0,50784699.0,52477264.0,41241248.0,43373689.0,37843862.0,37747843.0,48170492.0,34825344.0,44183801.0,45520071.0,42105436.0,49351200.0,26582747.0,0,50B-100B,1709446000,Profitable,57946838.5,Good Volume,57946838.5,427361500.0,7.375061540242614,114350166.66666667,513.9822416816182,1
ANSS,25441077000,NASDAQ,86791000,69526000,100622000,257947000,95975000,98800000,70988000,203171000,85342000.0,5310047.0,8344303.0,11570150.0,8431646.0,9982204.0,11264421.0,6925084.0,13773856.0,10056374.0,8044069.0,10184867.0,13998834.0,15973394.0,9625303.0,9907743.0,8023882.0,11985152.0,12948624.0,9205371.0,12657291.0,12259195.0,10375650.0,7968519.0,8391177.0,0,14.6B-50B,524070000,Profitable,9150461.833333334,Good Volume,9150461.833333334,131017500.0,14.318129771628465,40932125.0,621.5430300772315,1
AON,66154934000,NYSE,202867000,560000000,1050000000,657000000,408000000,501000000,1023000000,863000000,-900000000.0,8581483.0,12832006.0,16979237.0,16034291.0,18463755.0,17346788.0,16735592.0,22485499.0,15243528.0,14536099.0,16887865.0,14946528.0,18425652.0,17228356.0,17024486.0,17799614.0,19500556.0,23218703.0,18701742.0,34361767.0,23639915.0,25756542.0,25546532.0,31779858.0,0,50B-100B,2675000000,Profitable,15039593.333333334,Good Volume,15039593.333333334,668750000.0,44.46596295378554,173416666.66666666,381.47967707832777,1
AOS,10573498000,NYSE,124590000,157000000,126900000,-120100000,109800000,126200000,119800000,139600000,131600000.0,13837639.0,18710443.0,17627688.0,22242048.0,17775427.0,21942571.0,25309779.0,24860092.0,19427448.0,29207563.0,21324789.0,22608962.0,28792436.0,25929388.0,14604692.0,22144677.0,20345000.0,22190602.0,26748210.0,22529619.0,20866805.0,27662513.0,18585714.0,21303030.0,0,0-14.6B,273600000,Profitable,18689302.666666668,Good Volume,18689302.666666668,68400000.0,3.659847626203567,32950000.0,320.89523520485585,1
APA,12674681000,NASDAQ,307265000,290000000,137000000,429000000,357000000,903000000,1847000000,409000000,-83000000.0,50385080.0,80239339.0,89680854.0,92328987.0,112193293.0,133244814.0,102011456.0,165956136.0,108874231.0,106151812.0,129305380.0,139071512.0,181022367.0,180065018.0,182261908.0,151346377.0,184190322.0,230479812.0,164412174.0,239309000.0,184251612.0,201867836.0,192660574.0,206109673.0,0,0-14.6B,1213000000,Profitable,93012061.16666667,Good Volume,93012061.16666667,303250000.0,3.2603298561098617,178708333.33333334,70.9238386570296,1
APD,63414649000,NYSE,222149000,595600000,439800000,572200000,583100000,582100000,530500000,560400000,610400000.0,11094392.0,13873128.0,16743463.0,16039811.0,17065073.0,18936565.0,14196887.0,24351426.0,26740032.0,20273355.0,21958359.0,25877099.0,21079447.0,19996282.0,22467510.0,21539391.0,25429153.0,21955106.0,24541825.0,40209883.0,30500906.0,21372554.0,18745251.0,24992308.0,0,50B-100B,2190700000,Profitable,15625405.333333334,Good Volume,15625405.333333334,547675000.0,35.05029074872426,186420833.33333334,340.16932478040275,1
APH,48849584000,NYSE,596454000,460500000,439200000,507500000,496600000,472500000,425700000,465000000,426500000.0,33665218.0,47186559.0,43015587.0,48731066.0,52904253.0,74471125.0,53741993.0,56816567.0,47533204.0,48921470.0,42363220.0,47642361.0,51321725.0,43067904.0,34193552.0,39638239.0,48745352.0,49242020.0,55254864.0,67670571.0,54036693.0,55990363.0,39332187.0,43457026.0,0,14.6B-50B,1903800000,Profitable,49995634.666666664,Good Volume,49995634.666666664,475950000.0,9.519831144724476,153895833.33333334,317.41979585758764,1
APTV,26856966000,NYSE,282824000,242000000,162000000,249000000,301000000,-45000000,89000000,31000000,101000000.0,18050756.0,34826956.0,42545743.0,32837055.0,45405485.0,50322934.0,33314540.0,42625060.0,38273900.0,31838460.0,40715597.0,41649818.0,39258719.0,38496289.0,46578522.0,33684659.0,42734810.0,49242570.0,32144539.0,68198513.0,38775928.0,40517425.0,27064529.0,34110440.0,0,14.6B-50B,954000000,Profitable,37331488.166666664,Good Volume,37331488.166666664,238500000.0,6.388708613361869,47083333.333333336,570.4134371681415,1
ARE,17109008000,NYSE,173028000,89937000,77862000,54319000,344696000,272214000,-149569000,74895000,103147000.0,14799586.0,23527388.0,17708602.0,19468607.0,23868036.0,19239267.0,18592303.0,41249305.0,14132135.0,13508919.0,18029820.0,13331423.0,18128715.0,17966186.0,20292244.0,21449182.0,29023343.0,22635406.0,16727399.0,22544162.0,19484311.0,25659614.0,15626632.0,11717995.0,0,14.6B-50B,566814000,Profitable,19768581.0,Good Volume,19768581.0,141703500.0,7.168116922504453,36145875.0,473.332240539204,1
ATO,16624775000,NYSE,148462000,137807000,357671000,271860000,71643000,128547000,324999000,249209000,48720000.0,13192023.0,17508660.0,16594989.0,13360618.0,16768895.0,25640458.0,14844350.0,21126885.0,15467902.0,14061131.0,20384973.0,20120512.0,17248741.0,16727914.0,24164135.0,16167863.0,17024413.0,24079185.0,19041734.0,25802801.0,23641261.0,24524462.0,28945191.0,19484572.0,0,14.6B-50B,838981000,Profitable,17177607.166666668,Good Volume,17177607.166666668,209745250.0,12.210388092179272,66269000.0,250.86805293576182,1
AVB,25054462000,NYSE,142016000,367923000,146902000,241293000,494747000,138691000,262044000,335209000,78914000.0,8443609.0,13452046.0,12524952.0,14753391.0,15144561.0,13961527.0,18348669.0,18975111.0,17368481.0,17117079.0,15946930.0,20613216.0,16678609.0,15296080.0,13614361.0,14166397.0,17522370.0,18661343.0,16750071.0,14391359.0,13335612.0,14640835.0,16920891.0,12815317.0,0,14.6B-50B,1250865000,Profitable,13046681.0,Good Volume,13046681.0,312716250.0,23.969027065197654,86071791.66666667,291.08795709782964,1
AVGO,364519293000,NASDAQ,412735000,3303000000,3481000000,3774000000,3359000000,3074000000,2590000000,2472000000,1989000000.0,27401040.0,48036085.0,50364266.0,48919999.0,73742147.0,70272948.0,31290675.0,60280066.0,37615315.0,44559905.0,53360264.0,46078358.0,48153340.0,57348125.0,39870067.0,39440815.0,46829524.0,60933585.0,42488523.0,54974241.0,45150977.0,62674774.0,60258010.0,34352805.0,0,100B-500B,13917000000,Profitable,53122747.5,Good Volume,53122747.5,3479250000.0,65.49454167444935,1001750000.0,363.8824986274021,1
AVY,14721672000,NYSE,80583000,100400000,121200000,122900000,221500000,214500000,198200000,182700000,164100000.0,5401482.0,9200056.0,9643792.0,13307438.0,11087475.0,14015627.0,10910572.0,10510431.0,11963668.0,8866891.0,10300557.0,11467194.0,11512637.0,9556168.0,8398171.0,9136702.0,11671259.0,11900540.0,14375410.0,16018572.0,13734980.0,8998401.0,8159698.0,8853446.0,0,14.6B-50B,566000000,Profitable,10442645.0,Good Volume,10442645.0,141500000.0,13.550206868087539,55229166.666666664,266.55611316484345,1
AWK,22978728000,NYSE,194669000,280000000,170000000,147000000,297000000,218000000,158000000,645000000,278000000.0,19002991.0,21833389.0,19498609.0,17767561.0,22235510.0,18423095.0,15394832.0,39391165.0,22166871.0,14645589.0,15008357.0,18507262.0,20893516.0,15994739.0,14111270.0,15175865.0,19769049.0,21401751.0,16154034.0,21547444.0,24893845.0,20861304.0,15329206.0,15665599.0,0,14.6B-50B,894000000,Profitable,19793525.833333332,Good Volume,19793525.833333332,223500000.0,11.291570884436078,91375000.0,251.4771874145007,1
