Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
WM,615000000,533000000,499000000,639000000,587000000,513000000,506000000,538000000,,,,,,,,,,,,,1999-12-31
WMB,460000000,927000000,669000000,600000000,400000000,380000000,622000000,165000000,,,,,,,,,,,,,1999-12-31
WMT,7891000000,1673000000,6275000000,-1798000000,5149000000,2054000000,3562000000,3105000000,,,,,,,,,,,,,
WRB,,,,,,,,,,,,,,,,,,,,,
WRK,202000000,-2006100000,45300000,344500000,377900000,39900000,182300000,323700000,,,,,,,,,,,,,2015-07-31
WST,155100000,140000000,103000000,120600000,188500000,173800000,147700000,175600000,,,,,,,,,,,,,1999-12-31
WTW,94000000,203000000,588000000,190000000,109000000,122000000,2402000000,903000000,,,,,,,,,,,,,
WY,,,,,,,,,,,,,,,,,,,,,
WYNN,105184000,12332000,32411000,-142892000,-130051000,-183324000,-177190000,-166249000,,,,,,,,,,,,,2002-11-29
XEL,288000000,418000000,379000000,649000000,328000000,380000000,288000000,609000000,,,,,,,,,,,,,1999-12-31
